Network,Site,Antenna,Frequency,Elevation Angle,CD,Atm Absorption
NEN,Svalbard,SG1,S,5,0.9,0
NEN,Svalbard,SG1,S,5,0.95,0
NEN,Svalbard,SG1,S,5,0.99,0
NEN,Svalbard,SG1,S,5,0.999,0
NEN,Svalbard,SG1,S,10,0.9,0
NEN,Svalbard,SG1,S,10,0.95,0
NEN,Svalbard,SG1,S,10,0.99,0
NEN,Svalbard,SG1,S,10,0.999,0
NEN,Svalbard,SG2,S,5,0.9,0
NEN,Svalbard,SG2,S,5,0.95,0
NEN,Svalbard,SG2,S,5,0.99,0
NEN,Svalbard,SG2,S,5,0.999,0
NEN,Svalbard,SG2,S,10,0.9,0
NEN,Svalbard,SG2,S,10,0.95,0
NEN,Svalbard,SG2,S,10,0.99,0
NEN,Svalbard,SG2,S,10,0.999,0
NEN,Svalbard,SG3,S,5,0.9,0
NEN,Svalbard,SG3,S,5,0.95,0
NEN,Svalbard,SG3,S,5,0.99,0
NEN,Svalbard,SG3,S,5,0.999,0
NEN,Svalbard,SG3,S,10,0.9,0
NEN,Svalbard,SG3,S,10,0.95,0
NEN,Svalbard,SG3,S,10,0.99,0
NEN,Svalbard,SG3,S,10,0.999,0
NEN,Wallops,WGS 11.3 M,S,5,0.9,0.001666667
NEN,Wallops,WGS 11.3 M,S,5,0.95,0.003333333
NEN,Wallops,WGS 11.3 M,S,5,0.99,0.01
NEN,Wallops,WGS 11.3 M,S,5,0.999,0.04
NEN,Wallops,WGS 11.3 M,S,10,0.9,0.000833333
NEN,Wallops,WGS 11.3 M,S,10,0.95,0.001666667
NEN,Wallops,WGS 11.3 M,S,10,0.99,0.005
NEN,Wallops,WGS 11.3 M,S,10,0.999,0.02
NEN,Wallops,LEO-T,S,5,0.9,0.001666667
NEN,Wallops,LEO-T,S,5,0.95,0.003333333
NEN,Wallops,LEO-T,S,5,0.99,0.01
NEN,Wallops,LEO-T,S,5,0.999,0.04
NEN,Wallops,LEO-T,S,10,0.9,0.000833333
NEN,Wallops,LEO-T,S,10,0.95,0.001666667
NEN,Wallops,LEO-T,S,10,0.99,0.005
NEN,Wallops,LEO-T,S,10,0.999,0.02
NEN,Wallops,WFF VHF-1,VHF,5,0.9,0.001666667
NEN,Wallops,WFF VHF-1,VHF,5,0.95,0.003333333
NEN,Wallops,WFF VHF-1,VHF,5,0.99,0.01
NEN,Wallops,WFF VHF-1,VHF,5,0.999,0.04
NEN,Wallops,WFF VHF-1,VHF,10,0.9,0.000833333
NEN,Wallops,WFF VHF-1,VHF,10,0.95,0.001666667
NEN,Wallops,WFF VHF-1,VHF,10,0.99,0.005
NEN,Wallops,WFF VHF-1,VHF,10,0.999,0.02
NEN,Wallops,WFF VHF-2,VHF,5,0.9,0.001666667
NEN,Wallops,WFF VHF-2,VHF,5,0.95,0.003333333
NEN,Wallops,WFF VHF-2,VHF,5,0.99,0.01
NEN,Wallops,WFF VHF-2,VHF,5,0.999,0.04
NEN,Wallops,WFF VHF-2,VHF,10,0.9,0.000833333
NEN,Wallops,WFF VHF-2,VHF,10,0.95,0.001666667
NEN,Wallops,WFF VHF-2,VHF,10,0.99,0.005
NEN,Wallops,WFF VHF-2,VHF,10,0.999,0.02
